"Date","Description","Original Description","Amount","Transaction Type","Category","Account Name","Labels","Notes"
"10/01/2022","GglPay BISCOFF COFFESAN FRANCISCO       CA","GglPay BISCOFF COFFESAN FRANCISCO       CA","7.24","debit","Coffee Shops","Blue from American Express","",""
"10/01/2022","GglPay KEEVA INDIAN SAN FRANCISCO       CA","GglPay KEEVA INDIAN SAN FRANCISCO       CA","116.27","debit","Restaurants","Blue from American Express","",""
"9/30/2022","BT*DD *DOORDASH VEGGSAN FRANCISCO       CA","BT*DD *DOORDASH VEGGSAN FRANCISCO       CA","35.26","debit","Food Delivery","Blue from American Express","",""
"9/29/2022","GglPay WORLD WRAPPS-PALO ALTO           CA","GglPay WORLD WRAPPS-PALO ALTO           CA","27.00","debit","Restaurants","Blue from American Express","",""
"9/29/2022","BT*DD *DOORDASH DISHSAN FRANCISCO       CA","BT*DD *DOORDASH DISHSAN FRANCISCO       CA","43.66","debit","Food Delivery","Blue from American Express","",""
"9/28/2022","PEETSCOFFEE/MIGHTYLEEMERYVILLE          CA","PEETSCOFFEE/MIGHTYLEEMERYVILLE          CA","25.00","debit","Coffee Shops","Blue from American Express","",""
"9/28/2022","TGI FRIDAYS #0856 00DFW AIRPORT         TX","TGI FRIDAYS #0856 00DFW AIRPORT         TX","27.73","debit","Restaurants","Blue from American Express - Supplementary account","",""
"9/27/2022","GglPay CKE*RED ROCK MOUNTAIN VIEW       CA","GglPay CKE*RED ROCK MOUNTAIN VIEW       CA","10.00","debit","Restaurants","Blue from American Express","",""
"9/27/2022","ANTONIO'S PIZZA","ANTONIO'S PIZZA","11.80","debit","Restaurants","CREDIT CARD","",""
"9/27/2022","INSOMNIA COOKIES-AMHER","INSOMNIA COOKIES-AMHER","11.24","debit","Restaurants","CREDIT CARD","",""
"9/26/2022","GELATO CLASSICO ITALIAN  MOUNTAIN VIEWCA ","GELATO CLASSICO ITALIAN  MOUNTAIN VIEWCA","11.75","debit","Fast Food","Premium Rewards Visa Signature - 4511","",""
"9/26/2022","VIVI BUBBLE TEA","VIVI BUBBLE TEA","7.38","debit","Coffee Shops","CREDIT CARD","",""
"9/25/2022","SLICE*VIAMIAPIZZASARNEW YORK CITY       NY","SLICE*VIAMIAPIZZASARNEW YORK CITY       NY","33.93","debit","Restaurants","Blue from American Express","",""
"9/25/2022","6632309 - PEETS A TESAN JOSE            CA","6632309 - PEETS A TESAN JOSE            CA","15.51","debit","Coffee Shops","Blue from American Express - Supplementary account","",""
"9/25/2022","YUM BAKERY","YUM BAKERY","5.25","debit","Restaurants","CREDIT CARD","",""
"9/25/2022","GglPay BIG BASIN CAFSaratoga            CA","GglPay BIG BASIN CAFSaratoga            CA","8.10","debit","Restaurants","Blue from American Express","",""
"9/25/2022","BT*DD *DOORDASH THEMSAN FRANCISCO       CA","BT*DD *DOORDASH THEMSAN FRANCISCO       CA","18.68","debit","Food Delivery","Blue from American Express","",""
"9/24/2022","PEETSCOFFEE/MIGHTYLEEMERYVILLE          CA","PEETSCOFFEE/MIGHTYLEEMERYVILLE          CA","25.00","debit","Coffee Shops","Blue from American Express","",""
"9/21/2022","DD DOORDASH ORIENTALF","DD DOORDASH ORIENTALF","31.94","debit","Food Delivery","CREDIT CARD","",""
"9/20/2022","PEETSCOFFEE/MIGHTYLEEMERYVILLE          CA","PEETSCOFFEE/MIGHTYLEEMERYVILLE          CA","25.00","debit","Coffee Shops","Blue from American Express","",""
"9/19/2022","GglPay JOE & THE JUIPALO ALTO           CA","GglPay JOE & THE JUIPALO ALTO           CA","7.70","debit","Restaurants","Blue from American Express","",""
"9/19/2022","DD DOORDASH ITSJUSTWI","DD DOORDASH ITSJUSTWI","28.83","debit","Food Delivery","CREDIT CARD","",""
"9/18/2022","BT*DD *DOORDASH COUPSAN FRANCISCO       CA","BT*DD *DOORDASH COUPSAN FRANCISCO       CA","81.98","debit","Food Delivery","Blue from American Express","",""
"9/18/2022","CKE*THE MYNT SAN JOSSAN JOSE            CA","CKE*THE MYNT SAN JOSSAN JOSE            CA","105.59","debit","Restaurants","Blue from American Express","",""
"9/18/2022","RICELICIOUS","RICELICIOUS","12.72","debit","Restaurants","CREDIT CARD","",""
"9/18/2022","WORCESTER CAFE","WORCESTER CAFE","1.07","debit","Restaurants","CREDIT CARD","",""
"9/16/2022","SLICE*TASTYPIZZAINDINEW YORK CITY       NY","SLICE*TASTYPIZZAINDINEW YORK CITY       NY","29.11","debit","Restaurants","Blue from American Express","",""
"9/16/2022","GglPay JOE & THE JUIPALO ALTO           CA","GglPay JOE & THE JUIPALO ALTO           CA","10.57","debit","Restaurants","Blue from American Express","",""
"9/16/2022","GglPay PHILZ COFFEE Cupertino           CA","GglPay PHILZ COFFEE Cupertino           CA","10.90","debit","Coffee Shops","Blue from American Express","",""
"9/16/2022","BOMBAY ROYALE","BOMBAY ROYALE","90.25","debit","Restaurants","CREDIT CARD","",""
"9/15/2022","GglPay CKE*RED ROCK MOUNTAIN VIEW       CA","GglPay CKE*RED ROCK MOUNTAIN VIEW       CA","9.75","debit","Restaurants","Blue from American Express","",""
"9/15/2022","GglPay COUPA CAFE 1 PALO ALTO           CA","GglPay COUPA CAFE 1 PALO ALTO           CA","4.04","debit","Restaurants","Blue from American Express","",""
"9/15/2022","GglPay BLUE BOTTLE CPalo Alto           CA","GglPay BLUE BOTTLE CPalo Alto           CA","11.50","debit","Coffee Shops","Blue from American Express","",""
"9/15/2022","BT*DD *DOORDASH GOFISAN FRANCISCO       CA","BT*DD *DOORDASH GOFISAN FRANCISCO       CA","26.85","debit","Food Delivery","Blue from American Express","",""
"9/14/2022","GglPay COUPA CAFE 1 PALO ALTO           CA","GglPay COUPA CAFE 1 PALO ALTO           CA","13.15","debit","Restaurants","Blue from American Express","",""
"9/14/2022","GglPay ZAREEN'S PALOPalo Alto           CA","GglPay ZAREEN'S PALOPalo Alto           CA","44.42","debit","Restaurants","Blue from American Express","",""
"9/14/2022","IDB CAFE","IDB CAFE","0.25","debit","Restaurants","CREDIT CARD","",""
"9/13/2022","PEETSCOFFEE/MIGHTYLEEMERYVILLE          CA","PEETSCOFFEE/MIGHTYLEEMERYVILLE          CA","25.00","debit","Coffee Shops","Blue from American Express","",""
"9/13/2022","ROOTS CAFE","ROOTS CAFE","5.50","debit","Restaurants","CREDIT CARD","",""
"9/13/2022","INSOMNIA COOKIES-AMHER","INSOMNIA COOKIES-AMHER","20.06","debit","Restaurants","CREDIT CARD","",""
"9/10/2022","GglPay LAKSHMI BAZAASAN JOSE            CA","GglPay LAKSHMI BAZAASAN JOSE            CA","11.98","debit","Restaurants","Blue from American Express","",""
"9/10/2022","GglPay INDIA CASH & SAN JOSE            CA","GglPay INDIA CASH & SAN JOSE            CA","78.07","debit","Restaurants","Blue from American Express","",""
"9/09/2022","GglPay COUPA CAFE 1 PALO ALTO           CA","GglPay COUPA CAFE 1 PALO ALTO           CA","4.35","debit","Restaurants","Blue from American Express","",""
"9/09/2022","BT*DD *DOORDASH HONGSAN FRANCISCO       CA","BT*DD *DOORDASH HONGSAN FRANCISCO       CA","91.89","debit","Food Delivery","Blue from American Express","",""
"9/09/2022","PEETSCOFFEE/MIGHTYLEEMERYVILLE          CA","PEETSCOFFEE/MIGHTYLEEMERYVILLE          CA","25.00","debit","Coffee Shops","Blue from American Express","",""
"9/09/2022","TST* RED HOT CHILLI SAN CARLOS          CA","TST* RED HOT CHILLI SAN CARLOS          CA","32.35","debit","Restaurants","Blue from American Express","",""
"9/07/2022","GglPay JOE & THE JUIPALO ALTO           CA","GglPay JOE & THE JUIPALO ALTO           CA","6.88","debit","Restaurants","Blue from American Express","",""
"9/07/2022","DOORDASH DASHPASS   SAN FRANCISCO       CA","DOORDASH DASHPASS   SAN FRANCISCO       CA","9.99","debit","Food Delivery","Blue from American Express","",""
"9/07/2022","GglPay JOE & THE JUIPALO ALTO           CA","GglPay JOE & THE JUIPALO ALTO           CA","10.71","debit","Restaurants","Blue from American Express","",""
"9/07/2022","SUSHI HOUSE","SUSHI HOUSE","52.00","debit","Restaurants","Business Adv Unlimited Cash Rewards - 2733","",""
"9/07/2022","SNOWFLAKE COMPUTING","SNOWFLAKE COMPUTING","32.38","debit","Restaurants","Business Adv Unlimited Cash Rewards - 2733","",""
"9/07/2022","DD DOORDASH JOYBOWL","DD DOORDASH JOYBOWL","23.93","debit","Food Delivery","CREDIT CARD","",""
"9/07/2022","SNACK* MOGE TEE (AMHER","SNACK* MOGE TEE (AMHER","9.58","debit","Restaurants","CREDIT CARD","",""
"9/07/2022","WASABI","WASABI","11.50","debit","Restaurants","CREDIT CARD","",""
"9/06/2022","GglPay JOE & THE JUIPALO ALTO           CA","GglPay JOE & THE JUIPALO ALTO           CA","10.71","debit","Restaurants","Blue from American Express","",""
"9/06/2022","GglPay VERVE COFFEE Palo Alto           CA","GglPay VERVE COFFEE Palo Alto           CA","8.25","debit","Coffee Shops","Blue from American Express","",""
"9/06/2022","DD DOORDASH ANTONIOSP","DD DOORDASH ANTONIOSP","28.87","debit","Food Delivery","CREDIT CARD","",""
"9/05/2022","MOMS HOUSE CHINESE FOOD M","MOMS HOUSE CHINESE FOOD M","25.04","debit","Restaurants","CREDIT CARD","",""
"9/04/2022","GglPay FLOWER FLOUR SARATOGA            CA","GglPay FLOWER FLOUR SARATOGA            CA","7.94","debit","Restaurants","Blue from American Express","",""
"9/04/2022","GglPay LAKSHMI BAZAASAN JOSE            CA","GglPay LAKSHMI BAZAASAN JOSE            CA","25.24","debit","Restaurants","Blue from American Express","",""
"9/03/2022","GglPay INDIA CASH & SAN JOSE            CA","GglPay INDIA CASH & SAN JOSE            CA","52.37","debit","Restaurants","Blue from American Express","",""
"9/03/2022","BT*DD *DOORDASH VEGGSAN FRANCISCO       CA","BT*DD *DOORDASH VEGGSAN FRANCISCO       CA","55.30","debit","Food Delivery","Blue from American Express","",""
"9/03/2022","PEETSCOFFEE/MIGHTYLEEMERYVILLE          CA","PEETSCOFFEE/MIGHTYLEEMERYVILLE          CA","25.00","debit","Coffee Shops","Blue from American Express","",""
"9/02/2022","GglPay PHILZ COFFEE Cupertino           CA","GglPay PHILZ COFFEE Cupertino           CA","10.41","debit","Coffee Shops","Blue from American Express","",""
"9/02/2022","URBAN TORTILLA","URBAN TORTILLA","23.38","debit","Restaurants","CREDIT CARD","",""
"8/31/2022","BT*DD *DOORDASH THEMSAN FRANCISCO       CA","BT*DD *DOORDASH THEMSAN FRANCISCO       CA","23.67","debit","Food Delivery","Blue from American Express","",""
"8/31/2022","SAKOON 6500000106884SANTA CLARA         CA","SAKOON 6500000106884SANTA CLARA         CA","53.99","debit","Restaurants","Blue from American Express","",""
"8/31/2022","GglPay COUPA CAFE 1 PALO ALTO           CA","GglPay COUPA CAFE 1 PALO ALTO           CA","4.36","debit","Restaurants","Blue from American Express","",""
"8/31/2022","SLICE*TASTYPIZZAINDINEW YORK CITY       NY","SLICE*TASTYPIZZAINDINEW YORK CITY       NY","56.15","debit","Restaurants","Blue from American Express","",""
"8/30/2022","TEASPOON - SAN JOSE","TEASPOON - SAN JOSE","22.83","debit","Restaurants","CREDIT CARD","",""
"8/29/2022","FORTY NINERS STADIUM MANA","FORTY NINERS STADIUM MANA","50.00","debit","Restaurants","CREDIT CARD","",""
"8/29/2022","2LEVY@49ERS","2LEVY@49ERS","40.38","debit","Alcohol & Bars","CREDIT CARD","",""
"8/27/2022","BT*DD *DOORDASH GOLDSAN FRANCISCO       CA","BT*DD *DOORDASH GOLDSAN FRANCISCO       CA","83.70","debit","Food Delivery","Blue from American Express","",""
"8/26/2022","BT*DD *DOORDASH POKESAN FRANCISCO       CA","BT*DD *DOORDASH POKESAN FRANCISCO       CA","25.60","debit","Food Delivery","Blue from American Express","",""
"8/26/2022","EVERGREEN KITCHEN- HDOHA","EVERGREEN KITCHEN- HDOHA","8.79","debit","Restaurants","Blue from American Express","",""
"8/25/2022","BT*DD *DOORDASH NICKSAN FRANCISCO       CA","BT*DD *DOORDASH NICKSAN FRANCISCO       CA","20.78","debit","Food Delivery","Blue from American Express","",""
"8/25/2022","PEETSCOFFEE/MIGHTYLEAF","PEETSCOFFEE/MIGHTYLEAF","1.10","debit","Coffee Shops","CREDIT CARD","",""
"8/25/2022","PEETSCOFFEE/MIGHTYLEAF","PEETSCOFFEE/MIGHTYLEAF","7.30","debit","Coffee Shops","CREDIT CARD","",""
"8/24/2022","INTERNATIONAL TRANSACTION","INTERNATIONAL TRANSACTION","6.33","debit","Restaurants","Business Adv Unlimited Cash Rewards - 2733","",""
"8/24/2022","TEASPOON - SAN JOSE","TEASPOON - SAN JOSE","17.60","debit","Restaurants","CREDIT CARD","",""
"8/23/2022","PURCHASE                                AUTHORIZED ON   08/21 85C BAKERY CAFE US        CUPERTINO     CA  S582233832335834   CARD 7539","PURCHASE                                AUTHORIZED ON   08/21 85C BAKERY CAFE US        CUPERTINO     CA  S582233832335834   CARD 7539","9.30","debit","Restaurants","Meghna Chk","",""
"8/22/2022","BT*DD *DOORDASH HONGSAN FRANCISCO       CA","BT*DD *DOORDASH HONGSAN FRANCISCO       CA","82.20","debit","Food Delivery","Blue from American Express","",""
"8/21/2022","BT*DD *DOORDASH CORASAN FRANCISCO       CA","BT*DD *DOORDASH CORASAN FRANCISCO       CA","20.77","debit","Food Delivery","Blue from American Express","",""
"8/21/2022","EUREKA CUPERTINO","EUREKA CUPERTINO","113.21","debit","Restaurants","CREDIT CARD","",""
"8/20/2022","BH*IBIS BENGALURU TEBANGALORE URBAN     KA","BH*IBIS BENGALURU TEBANGALORE URBAN     KA","125.71","debit","Restaurants","Blue from American Express","",""
"8/19/2022","PEETSCOFFEE/MIGHTYLEAF","PEETSCOFFEE/MIGHTYLEAF","12.80","debit","Coffee Shops","CREDIT CARD","",""
"8/19/2022","PEETSCOFFEE/MIGHTYLEAF","PEETSCOFFEE/MIGHTYLEAF","0.50","debit","Coffee Shops","CREDIT CARD","",""
"8/17/2022","BT*DD *DOORDASH POKISAN FRANCISCO       CA","BT*DD *DOORDASH POKISAN FRANCISCO       CA","39.83","debit","Food Delivery","Blue from American Express","",""
"8/16/2022","TEASPOON - SAN JOSE","TEASPOON - SAN JOSE","12.65","debit","Restaurants","CREDIT CARD","",""
"8/15/2022","PEETSCOFFEE/MIGHTYLEAF","PEETSCOFFEE/MIGHTYLEAF","7.00","debit","Coffee Shops","CREDIT CARD","",""
"8/15/2022","PEETSCOFFEE/MIGHTYLEAF","PEETSCOFFEE/MIGHTYLEAF","1.05","debit","Coffee Shops","CREDIT CARD","",""
"8/14/2022","STARBUCKS           DOHA","STARBUCKS           DOHA","8.52","debit","Coffee Shops","Blue from American Express","",""
"8/13/2022","GglPay BLACK POINT CSAN FRANCISCO       CA","GglPay BLACK POINT CSAN FRANCISCO       CA","7.69","debit","Coffee Shops","Blue from American Express","",""
"8/12/2022","GglPay INDIA CASH & SAN JOSE            CA","GglPay INDIA CASH & SAN JOSE            CA","29.46","debit","Restaurants","Blue from American Express","",""
"8/11/2022","GglPay CKE*FAMBRINISPALO ALTO           CA","GglPay CKE*FAMBRINISPALO ALTO           CA","20.00","debit","Restaurants","Blue from American Express","",""
"8/11/2022","PEETSCOFFEE/MIGHTYLEEMERYVILLE          CA","PEETSCOFFEE/MIGHTYLEEMERYVILLE          CA","25.00","debit","Coffee Shops","Blue from American Express","",""
"8/11/2022","SQ *OFF THE RECORD","SQ *OFF THE RECORD","35.26","debit","Restaurants","CREDIT CARD","",""
"8/10/2022","GglPay BLUE BOTTLE CSan Mateo           CA","GglPay BLUE BOTTLE CSan Mateo           CA","13.80","debit","Coffee Shops","Blue from American Express","",""
"8/10/2022","SLICE*TASTYPIZZAINDINEW YORK CITY       NY","SLICE*TASTYPIZZAINDINEW YORK CITY       NY","49.62","debit","Restaurants","Blue from American Express","",""
"8/09/2022","GglPay JOE & THE JUIPALO ALTO           CA","GglPay JOE & THE JUIPALO ALTO           CA","12.19","debit","Restaurants","Blue from American Express","",""
"8/09/2022","GglPay JOE & THE JUIPALO ALTO           CA","GglPay JOE & THE JUIPALO ALTO           CA","3.81","debit","Coffee Shops","Blue from American Express","",""
"8/07/2022","DOORDASH DASHPASS   SAN FRANCISCO       CA","DOORDASH DASHPASS   SAN FRANCISCO       CA","9.99","debit","Food Delivery","Blue from American Express","",""
"8/07/2022","PEETSCOFFEE/MIGHTYLEEMERYVILLE          CA","PEETSCOFFEE/MIGHTYLEEMERYVILLE          CA","25.00","debit","Coffee Shops","Blue from American Express","",""
"8/07/2022","PEETSCOFFEE/MIGHTYLEAF","PEETSCOFFEE/MIGHTYLEAF","5.40","debit","Coffee Shops","CREDIT CARD","",""
"8/07/2022","PEETSCOFFEE/MIGHTYLEAF","PEETSCOFFEE/MIGHTYLEAF","0.81","debit","Coffee Shops","CREDIT CARD","",""
"8/06/2022","GglPay INDIA CASH & SAN JOSE            CA","GglPay INDIA CASH & SAN JOSE            CA","110.47","debit","Restaurants","Blue from American Express","",""
"8/06/2022","IBG SUNNYVALE 000000RICHMOND            CA","IBG SUNNYVALE 000000RICHMOND            CA","89.37","debit","Restaurants","Blue from American Express","",""
"8/06/2022","BT*DD *DOORDASH VEGGSAN FRANCISCO       CA","BT*DD *DOORDASH VEGGSAN FRANCISCO       CA","65.23","debit","Food Delivery","Blue from American Express","",""
"8/05/2022","PEET'S #26002       SANTA CLARA         CA","PEET'S #26002       SANTA CLARA         CA","9.80","debit","Coffee Shops","Blue from American Express","",""
"8/05/2022","GglPay BLUE BOTTLE CPalo Alto           CA","GglPay BLUE BOTTLE CPalo Alto           CA","13.80","debit","Coffee Shops","Blue from American Express","",""
"8/05/2022","LA PIZZERIA","LA PIZZERIA","25.82","debit","Restaurants","CREDIT CARD","",""
"8/04/2022","BT*DD *DOORDASH CHAASAN FRANCISCO       CA","BT*DD *DOORDASH CHAASAN FRANCISCO       CA","76.02","debit","Food Delivery","Blue from American Express","",""
"8/04/2022","SNOWFLAKE COMPUTING","SNOWFLAKE COMPUTING","62.21","debit","Restaurants","Business Adv Unlimited Cash Rewards - 2733","",""
"8/03/2022","GglPay COUPA CAFE 1 PALO ALTO           CA","GglPay COUPA CAFE 1 PALO ALTO           CA","11.18","debit","Restaurants","Blue from American Express","",""
"8/03/2022","TEASPOON - SAN JOSE","TEASPOON - SAN JOSE","16.50","debit","Restaurants","CREDIT CARD","",""
"8/03/2022","TEASPOON - SAN JOSE","TEASPOON - SAN JOSE","8.80","debit","Restaurants","CREDIT CARD","",""
"8/02/2022","GglPay JOE & THE JUIPALO ALTO           CA","GglPay JOE & THE JUIPALO ALTO           CA","10.70","debit","Restaurants","Blue from American Express","",""
"8/02/2022","GglPay JOE & THE JUIPALO ALTO           CA","GglPay JOE & THE JUIPALO ALTO           CA","12.19","debit","Restaurants","Blue from American Express","",""
"8/02/2022","PEETSCOFFEE/MIGHTYLEAF","PEETSCOFFEE/MIGHTYLEAF","3.57","debit","Coffee Shops","CREDIT CARD","",""
"8/02/2022","PEETSCOFFEE/MIGHTYLEAF","PEETSCOFFEE/MIGHTYLEAF","0.50","debit","Coffee Shops","CREDIT CARD","",""
"8/01/2022","PEETSCOFFEE/MIGHTYLEEMERYVILLE          CA","PEETSCOFFEE/MIGHTYLEEMERYVILLE          CA","25.00","debit","Coffee Shops","Blue from American Express","",""
"8/01/2022","SLACK T01744AURUK","SLACK T01744AURUK","55.54","debit","Restaurants","Business Adv Unlimited Cash Rewards - 2733","",""
"8/01/2022","CHEESECAKE SAN JOSE","CHEESECAKE SAN JOSE","25.88","debit","Restaurants","CREDIT CARD","",""
"8/01/2022","MYUNG RANG CUPERTINO","MYUNG RANG CUPERTINO","6.27","debit","Restaurants","CREDIT CARD","",""
"7/31/2022","CKE*THE MYNT SAN JOSSAN JOSE            CA","CKE*THE MYNT SAN JOSSAN JOSE            CA","112.72","debit","Restaurants","Blue from American Express - Supplementary account","",""
"7/31/2022","CREAM CUPERTINO","CREAM CUPERTINO","8.04","debit","Fast Food","CREDIT CARD","",""
"7/31/2022","SQ *SHAKE SHACK","SQ *SHAKE SHACK","7.19","debit","Fast Food","CREDIT CARD","",""
"7/31/2022","2LEVY@49ERS","2LEVY@49ERS","46.94","debit","Alcohol & Bars","CREDIT CARD","",""
"7/29/2022","FORTY NINERS STADIUMSANTA CLARA         CA","FORTY NINERS STADIUMSANTA CLARA         CA","50.00","debit","Restaurants","Blue from American Express","",""
"7/29/2022","GglPay P103 Coffee*JSanta Clara         CA","GglPay P103 Coffee*JSanta Clara         CA","12.10","debit","Coffee Shops","Blue from American Express","",""
"7/29/2022","PEETSCOFFEE/MIGHTYLEEMERYVILLE          CA","PEETSCOFFEE/MIGHTYLEEMERYVILLE          CA","25.00","debit","Coffee Shops","Blue from American Express","",""
"7/29/2022","GglPay PHILZ COFFEE Fremont             CA","GglPay PHILZ COFFEE Fremont             CA","9.90","debit","Coffee Shops","Blue from American Express","",""
"7/28/2022","SLICE*TASTYPIZZAINDINEW YORK CITY       NY","SLICE*TASTYPIZZAINDINEW YORK CITY       NY","56.03","debit","Restaurants","Blue from American Express","",""
"7/28/2022","GglPay THE COUNTER CCUPERTINO           CA","GglPay THE COUNTER CCUPERTINO           CA","17.11","debit","Restaurants","Blue from American Express","",""
"7/28/2022","PEETSCOFFEE/MIGHTYLEAF","PEETSCOFFEE/MIGHTYLEAF","6.72","debit","Coffee Shops","CREDIT CARD","",""
"7/28/2022","PEETSCOFFEE/MIGHTYLEAF","PEETSCOFFEE/MIGHTYLEAF","1.01","debit","Coffee Shops","CREDIT CARD","",""
"7/27/2022","BT*DD *DOORDASH COUPSAN FRANCISCO       CA","BT*DD *DOORDASH COUPSAN FRANCISCO       CA","109.25","debit","Food Delivery","Blue from American Express","",""
"7/27/2022","SMART TEA","SMART TEA","6.51","debit","Coffee Shops","CREDIT CARD","",""
"7/27/2022","PEETSCOFFEE/MIGHTYLEAF","PEETSCOFFEE/MIGHTYLEAF","2.72","debit","Coffee Shops","CREDIT CARD","",""
"7/27/2022","PEETSCOFFEE/MIGHTYLEAF","PEETSCOFFEE/MIGHTYLEAF","0.50","debit","Coffee Shops","CREDIT CARD","",""
"7/26/2022","PEETSCOFFEE/MIGHTYLEEMERYVILLE          CA","PEETSCOFFEE/MIGHTYLEEMERYVILLE          CA","25.00","debit","Coffee Shops","Blue from American Express","",""
"7/24/2022","BIG FISH LITTLE FISH POKE","BIG FISH LITTLE FISH POKE","14.16","debit","Restaurants","CREDIT CARD","",""
"7/24/2022","TST* R&B TEA, VALLEY FAIR","TST* R&B TEA, VALLEY FAIR","20.74","debit","Restaurants","CREDIT CARD","",""
"7/23/2022","GglPay BLUE BOTTLE CPalo Alto           CA","GglPay BLUE BOTTLE CPalo Alto           CA","13.80","debit","Coffee Shops","Blue from American Express","",""
"7/22/2022","PEETSCOFFEE/MIGHTYLEEMERYVILLE          CA","PEETSCOFFEE/MIGHTYLEEMERYVILLE          CA","25.00","debit","Coffee Shops","Blue from American Express","",""
"7/21/2022","BT*DD *DOORDASH BOUDSAN FRANCISCO       CA","BT*DD *DOORDASH BOUDSAN FRANCISCO       CA","41.57","debit","Food Delivery","Blue from American Express","",""
"7/21/2022","PEETSCOFFEE/MIGHTYLEAF","PEETSCOFFEE/MIGHTYLEAF","12.40","debit","Coffee Shops","CREDIT CARD","",""
"7/20/2022","GglPay INDIA CASH & SAN JOSE            CA","GglPay INDIA CASH & SAN JOSE            CA","60.48","debit","Restaurants","Blue from American Express","",""
"7/20/2022","BT*DD *DOORDASH HONGSAN FRANCISCO       CA","BT*DD *DOORDASH HONGSAN FRANCISCO       CA","113.49","debit","Food Delivery","Blue from American Express","",""
"7/19/2022","BT*DD *DOORDASH SUPESAN FRANCISCO       CA","BT*DD *DOORDASH SUPESAN FRANCISCO       CA","44.75","debit","Food Delivery","Blue from American Express","",""
"7/19/2022","CREPEVINE MT VIEW","CREPEVINE MT VIEW","97.38","debit","Restaurants","CREDIT CARD","",""
"7/18/2022","PEETSCOFFEE/MIGHTYLEEMERYVILLE          CA","PEETSCOFFEE/MIGHTYLEEMERYVILLE          CA","25.00","debit","Coffee Shops","Blue from American Express","",""
"7/17/2022","PEETSCOFFEE/MIGHTYLEAF","PEETSCOFFEE/MIGHTYLEAF","12.20","debit","Coffee Shops","CREDIT CARD","",""
"7/16/2022","PEETSCOFFEE/MIGHTYLEEMERYVILLE          CA","PEETSCOFFEE/MIGHTYLEEMERYVILLE          CA","25.00","debit","Coffee Shops","Blue from American Express","",""
"7/15/2022","BT*DD *DOORDASH NOODSAN FRANCISCO       CA","BT*DD *DOORDASH NOODSAN FRANCISCO       CA","48.61","debit","Food Delivery","Blue from American Express","",""
"7/15/2022","SLICE*TASTYPIZZAINDINEW YORK CITY       NY","SLICE*TASTYPIZZAINDINEW YORK CITY       NY","56.03","debit","Restaurants","Blue from American Express","",""
"7/15/2022","PEETSCOFFEE/MIGHTYLEAF","PEETSCOFFEE/MIGHTYLEAF","1.76","debit","Coffee Shops","CREDIT CARD","",""
"7/15/2022","PEETSCOFFEE/MIGHTYLEAF","PEETSCOFFEE/MIGHTYLEAF","11.75","debit","Coffee Shops","CREDIT CARD","",""
"7/14/2022","PEETSCOFFEE/MIGHTYLEEMERYVILLE          CA","PEETSCOFFEE/MIGHTYLEEMERYVILLE          CA","25.00","debit","Coffee Shops","Blue from American Express","",""
"7/13/2022","PIERCED OUT","PIERCED OUT","31.50","debit","Restaurants","CREDIT CARD","",""
"7/12/2022","GglPay JOE & THE JUIPALO ALTO           CA","GglPay JOE & THE JUIPALO ALTO           CA","6.02","debit","Restaurants","Blue from American Express","",""
"7/12/2022","GglPay INDIA CASH & SAN JOSE            CA","GglPay INDIA CASH & SAN JOSE            CA","224.45","debit","Restaurants","Blue from American Express","",""
"7/12/2022","TEASPOON CAMPBELL","TEASPOON CAMPBELL","14.03","debit","Restaurants","CREDIT CARD","",""
"7/12/2022","CREAM CUPERTINO","CREAM CUPERTINO","6.89","debit","Fast Food","CREDIT CARD","",""
"7/11/2022","GglPay JOE & THE JUIPALO ALTO           CA","GglPay JOE & THE JUIPALO ALTO           CA","12.19","debit","Restaurants","Blue from American Express","",""
"7/11/2022","GglPay JOE & THE JUIPALO ALTO           CA","GglPay JOE & THE JUIPALO ALTO           CA","6.34","debit","Restaurants","Blue from American Express","",""
"7/11/2022","SLACK T01744AURUK","SLACK T01744AURUK","160.80","debit","Restaurants","Business Adv Unlimited Cash Rewards - 2733","",""
"7/11/2022","GglPay JOE & THE JUIPALO ALTO           CA","GglPay JOE & THE JUIPALO ALTO           CA","7.91","debit","Restaurants","Blue from American Express","",""
"7/10/2022","GglPay LAKSHMI BAZAASAN JOSE            CA","GglPay LAKSHMI BAZAASAN JOSE            CA","23.98","debit","Restaurants","Blue from American Express","",""
"7/10/2022","CKE*THE MYNT SAN JOSSAN JOSE            CA","CKE*THE MYNT SAN JOSSAN JOSE            CA","109.14","debit","Restaurants","Blue from American Express","",""
"7/10/2022","PEETSCOFFEE/MIGHTYLEAF","PEETSCOFFEE/MIGHTYLEAF","0.97","debit","Coffee Shops","CREDIT CARD","",""
"7/10/2022","PEETSCOFFEE/MIGHTYLEAF","PEETSCOFFEE/MIGHTYLEAF","6.45","debit","Coffee Shops","CREDIT CARD","",""
"7/08/2022","PEETSCOFFEE/MIGHTYLEEMERYVILLE          CA","PEETSCOFFEE/MIGHTYLEEMERYVILLE          CA","25.00","debit","Coffee Shops","Blue from American Express","",""
"7/08/2022","SLICE*TASTYPIZZAINDINEW YORK CITY       NY","SLICE*TASTYPIZZAINDINEW YORK CITY       NY","46.05","debit","Restaurants","Blue from American Express","",""
